|Rank|County|Population
0|1|Oklahoma County|792582
1|2|Tulsa County|648360
2|3|Cleveland County|281669
3|4|Canadian County|144447
4|5|Comanche County|120422
5|6|Rogers County|91984
6|7|Payne County|82040
7|8|Wagoner County|80110
8|9|Pottawatomie County|72679
9|10|Creek County|71604
10|11|Muskogee County|68362
11|12|Garfield County|60913
12|13|Grady County|55551
13|14|Washington County|51843
14|15|Le Flore County|49980
15|16|Cherokee County|48675
16|17|Carter County|48177
17|18|Logan County|47291
18|19|Bryan County|47192
19|20|Osage County|47014
20|21|Kay County|44161
21|22|Pittsburg County|43877
22|23|Stephens County|43265
23|24|Delaware County|42733
24|25|Sequoyah County|41179
25|26|Mayes County|41107
26|27|McClain County|39985
27|28|Okmulgee County|38335
28|29|Pontotoc County|38247
29|30|Lincoln County|34920
30|31|McCurtain County|32703
31|32|Ottawa County|31175
32|33|Custer County|29036
33|34|Caddo County|28977
34|35|Garvin County|27811
35|36|Jackson County|24949
36|37|Seminole County|24578
37|38|Adair County|22082
38|39|Beckham County|21709
39|40|Texas County|20455
40|41|Woodward County|20222
41|42|McIntosh County|19815
42|43|Marshall County|16806
43|44|Pawnee County|16390
44|45|Kingfisher County|15816
45|46|Choctaw County|14668
46|47|Craig County|14306
47|48|Murray County|13953
48|49|Atoka County|13838
49|50|Hughes County|13335
50|51|Haskell County|12668
51|52|Okfuskee County|12098
52|53|Noble County|11289
53|54|Pushmataha County|11179
54|55|Washita County|11127
55|56|Johnston County|10949
56|57|Latimer County|10231
57|58|Nowata County|10218
58|59|Love County|10134
59|60|Blaine County|9485
60|61|Woods County|8897
61|62|Kiowa County|8729
62|63|Major County|7644
63|64|Tillman County|7348
64|65|Jefferson County|6123
65|66|Greer County|5821
66|67|Cotton County|5776
67|68|Alfalfa County|5754
68|69|Coal County|5520
69|70|Beaver County|5319
70|71|Dewey County|4894
71|72|Grant County|4326
72|73|Ellis County|3952
73|74|Harper County|3797
74|75|Roger Mills County|3656
75|76|Harmon County|2664
76|77|Cimarron County|2153
77|United States Census Bureau. B01001 SEX BY AGE, 2017 American Community Survey 5-Year Estimates. U.S. Census Bureau, American Community Survey Office. Web. 6 December 2018. http://www.census.gov/.  United States Census Bureau. Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018. U.S. Census Bureau, Population Division. Web. May 2019. http://www.census.gov/.|United States Census Bureau. B01001 SEX BY AGE, 2017 American Community Survey 5-Year Estimates. U.S. Census Bureau, American Community Survey Office. Web. 6 December 2018. http://www.census.gov/.  United States Census Bureau. Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018. U.S. Census Bureau, Population Division. Web. May 2019. http://www.census.gov/.|United States Census Bureau. B01001 SEX BY AGE, 2017 American Community Survey 5-Year Estimates. U.S. Census Bureau, American Community Survey Office. Web. 6 December 2018. http://www.census.gov/.  United States Census Bureau. Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018. U.S. Census Bureau, Population Division. Web. May 2019. http://www.census.gov/.
